# Residuals   
# Time        	p             	Ux            	Uy            
1.48          	3.778603e-01	5.114569e-03	3.037320e-02
1.49          	3.625813e-01	5.068214e-03	2.920447e-02
1.5           	3.784101e-01	5.012865e-03	2.824004e-02
1.51          	3.767771e-01	4.929404e-03	2.725781e-02
1.52          	4.015760e-01	4.892513e-03	2.630732e-02
1.53          	3.936093e-01	4.978411e-03	2.557223e-02
1.54          	4.040021e-01	5.072651e-03	2.533172e-02
1.55          	3.950418e-01	5.129712e-03	2.525345e-02
1.56          	3.871087e-01	5.194232e-03	2.544862e-02
1.57          	3.834856e-01	5.258235e-03	2.568043e-02
1.58          	3.658258e-01	5.301204e-03	2.607527e-02
1.59          	3.563381e-01	5.289621e-03	2.658547e-02
1.6           	3.338439e-01	5.278038e-03	2.694187e-02
1.61          	3.175664e-01	5.213949e-03	2.730613e-02
1.62          	3.215604e-01	5.133448e-03	2.770449e-02
1.63          	3.053692e-01	5.044884e-03	2.797942e-02
1.64          	2.832340e-01	4.950668e-03	2.837715e-02
1.65          	2.847874e-01	4.852634e-03	2.865691e-02
1.66          	2.766657e-01	4.760322e-03	2.879256e-02
1.67          	2.739064e-01	4.668828e-03	2.860343e-02
1.68          	2.724196e-01	4.574429e-03	2.793417e-02
1.69          	2.537940e-01	4.467729e-03	2.714562e-02
1.7           	2.547247e-01	4.393915e-03	2.614536e-02
1.71          	2.869357e-01	4.382709e-03	2.540182e-02
1.72          	2.862715e-01	4.359023e-03	2.484309e-02
1.73          	2.986687e-01	4.373719e-03	2.438439e-02
1.74          	2.886456e-01	4.436687e-03	2.441795e-02
1.75          	3.060662e-01	4.522522e-03	2.454332e-02
1.76          	3.242023e-01	4.604761e-03	2.488561e-02
1.77          	3.320099e-01	4.660668e-03	2.551050e-02
1.78          	3.400488e-01	4.711641e-03	2.630010e-02
1.79          	3.638979e-01	4.715870e-03	2.719243e-02
1.8           	3.725142e-01	4.700998e-03	2.835638e-02
1.81          	3.833765e-01	4.734114e-03	2.943496e-02
1.82          	4.082185e-01	4.820371e-03	3.059954e-02
1.83          	4.255910e-01	4.933607e-03	3.197413e-02
1.84          	4.128708e-01	5.133694e-03	3.368727e-02
1.85          	4.001839e-01	5.363854e-03	3.520291e-02
1.86          	4.175842e-01	5.603987e-03	3.675853e-02
1.87          	4.232454e-01	5.899419e-03	3.877736e-02
1.88          	4.279274e-01	6.198560e-03	4.018448e-02
1.89          	4.226612e-01	6.328049e-03	4.099480e-02
1.9           	4.208144e-01	6.486754e-03	4.153381e-02
1.91          	4.223693e-01	6.611727e-03	4.182580e-02
1.92          	4.144708e-01	6.643376e-03	4.152767e-02
1.93          	4.077864e-01	6.558128e-03	4.065631e-02
1.94          	4.009143e-01	6.461004e-03	4.002345e-02
1.95          	3.901719e-01	6.389939e-03	3.902524e-02
1.96          	3.978140e-01	6.381069e-03	3.824958e-02
1.97          	3.970904e-01	6.443686e-03	3.738585e-02
1.98          	4.044266e-01	6.498207e-03	3.648164e-02
1.99          	3.956334e-01	6.543019e-03	3.562058e-02
2             	3.861128e-01	6.577451e-03	3.475688e-02
2.01          	3.814006e-01	6.573489e-03	3.364563e-02
2.02          	3.643490e-01	6.527509e-03	3.258520e-02
2.03          	3.325560e-01	6.519634e-03	3.164879e-02
2.04          	3.172028e-01	6.487483e-03	3.067636e-02
2.05          	2.926573e-01	6.429684e-03	2.982130e-02
2.06          	2.712050e-01	6.333974e-03	2.928186e-02
2.07          	2.567731e-01	6.235488e-03	2.867444e-02
2.08          	2.460180e-01	6.083753e-03	2.792846e-02
2.09          	2.413477e-01	5.880941e-03	2.720393e-02
2.1           	2.422889e-01	5.726587e-03	2.656773e-02
2.11          	2.376051e-01	5.615081e-03	2.619401e-02
2.12          	2.371121e-01	5.503994e-03	2.611761e-02
2.13          	2.338733e-01	5.379217e-03	2.587269e-02
2.14          	2.267084e-01	5.274602e-03	2.567898e-02
2.15          	2.294587e-01	5.169362e-03	2.550044e-02
2.16          	2.251879e-01	5.079292e-03	2.514415e-02
2.17          	2.341940e-01	4.986438e-03	2.477279e-02
2.18          	2.283100e-01	4.895175e-03	2.441977e-02
2.19          	2.392750e-01	4.805766e-03	2.415747e-02
2.2           	2.529355e-01	4.764167e-03	2.389995e-02
2.21          	2.694101e-01	4.709576e-03	2.387847e-02
2.22          	2.798863e-01	4.715016e-03	2.409487e-02
2.23          	3.081225e-01	4.771396e-03	2.453730e-02
2.24          	3.245086e-01	4.849477e-03	2.543190e-02
2.25          	3.390360e-01	4.932233e-03	2.635605e-02
2.26          	3.497343e-01	4.979849e-03	2.747825e-02
2.27          	3.558676e-01	5.005025e-03	2.868884e-02
2.28          	3.756241e-01	5.015791e-03	2.984399e-02
2.29          	3.834040e-01	5.015217e-03	3.103365e-02
2.3           	3.667687e-01	5.052545e-03	3.241235e-02
2.31          	3.753960e-01	5.076620e-03	3.376873e-02
2.32          	4.020396e-01	5.103360e-03	3.520303e-02
2.33          	3.987977e-01	5.189777e-03	3.628344e-02
2.34          	4.034945e-01	5.340104e-03	3.732894e-02
2.35          	4.119633e-01	5.526275e-03	3.831495e-02
2.36          	4.229470e-01	5.713780e-03	3.883343e-02
2.37          	4.285733e-01	5.948263e-03	3.911096e-02
2.38          	4.234596e-01	6.154222e-03	3.894591e-02
2.39          	4.243669e-01	6.262009e-03	3.833105e-02
2.4           	4.398560e-01	6.330607e-03	3.736692e-02
2.41          	4.363872e-01	6.379412e-03	3.622476e-02
2.42          	4.205726e-01	6.392369e-03	3.506977e-02
2.43          	4.058147e-01	6.369532e-03	3.410335e-02
2.44          	3.987208e-01	6.389457e-03	3.311552e-02
2.45          	3.930583e-01	6.400251e-03	3.250301e-02
2.46          	3.968937e-01	6.428259e-03	3.179270e-02
2.47          	3.931987e-01	6.458389e-03	3.116766e-02
2.48          	3.767269e-01	6.425356e-03	3.045678e-02
2.49          	3.577994e-01	6.410636e-03	2.955898e-02
2.5           	3.358455e-01	6.400573e-03	2.865456e-02
2.51          	3.102925e-01	6.344455e-03	2.782003e-02
2.52          	2.833710e-01	6.267543e-03	2.701470e-02
2.53          	2.699697e-01	6.185819e-03	2.632017e-02
2.54          	2.590347e-01	6.104322e-03	2.579840e-02
2.55          	2.413527e-01	5.993495e-03	2.528325e-02
2.56          	2.401904e-01	5.876784e-03	2.488756e-02
2.57          	2.214526e-01	5.743410e-03	2.441321e-02
2.58          	2.244028e-01	5.594217e-03	2.375298e-02
2.59          	2.143944e-01	5.393930e-03	2.291964e-02
2.6           	2.122911e-01	5.202128e-03	2.221555e-02
2.61          	2.065068e-01	5.039723e-03	2.173425e-02
2.62          	1.899198e-01	4.877827e-03	2.131404e-02
2.63          	1.952170e-01	4.732390e-03	2.103559e-02
2.64          	1.857012e-01	4.584152e-03	2.075913e-02
2.65          	1.886923e-01	4.458327e-03	2.046349e-02
2.66          	2.003949e-01	4.342048e-03	2.018224e-02
2.67          	2.001911e-01	4.262557e-03	1.996010e-02
2.68          	2.092693e-01	4.210808e-03	1.987670e-02
2.69          	2.391561e-01	4.207605e-03	2.001638e-02
2.7           	2.573760e-01	4.254547e-03	2.018204e-02
2.71          	2.610618e-01	4.321330e-03	2.046989e-02
2.72          	2.801664e-01	4.454450e-03	2.113032e-02
2.73          	3.082533e-01	4.586446e-03	2.193072e-02
2.74          	3.178187e-01	4.709784e-03	2.303418e-02
2.75          	3.268175e-01	4.819432e-03	2.417753e-02
2.76          	3.537478e-01	4.886478e-03	2.544872e-02
2.77          	3.457785e-01	4.935668e-03	2.664172e-02
2.78          	3.727977e-01	4.944346e-03	2.763147e-02
2.79          	3.815774e-01	4.929054e-03	2.845524e-02
2.8           	3.632743e-01	4.914998e-03	2.898108e-02
2.81          	3.677874e-01	4.915924e-03	2.929693e-02
2.82          	3.663905e-01	4.933293e-03	2.956148e-02
2.83          	3.686598e-01	5.006121e-03	2.981161e-02
2.84          	3.680904e-01	5.150284e-03	2.995982e-02
2.85          	3.754344e-01	5.331809e-03	2.981587e-02
2.86          	3.691113e-01	5.550698e-03	2.967849e-02
2.87          	3.915246e-01	5.793145e-03	2.939995e-02
2.88          	4.165952e-01	6.005527e-03	2.917049e-02
2.89          	4.138081e-01	6.183068e-03	2.877228e-02
2.9           	3.851032e-01	6.335336e-03	2.838118e-02
2.91          	3.465461e-01	6.471673e-03	2.773564e-02
