# Residuals   
# Time        	p             	Ux            	Uy            
1.82          	4.066918e-01	5.491063e-03	3.124106e-02
1.83          	4.117807e-01	5.525539e-03	3.207870e-02
1.84          	4.124542e-01	5.574229e-03	3.286208e-02
1.85          	4.029466e-01	5.669727e-03	3.363989e-02
1.86          	3.887675e-01	5.773982e-03	3.468189e-02
1.87          	4.016009e-01	5.933581e-03	3.566850e-02
1.88          	4.024040e-01	6.056180e-03	3.676641e-02
1.89          	3.983545e-01	6.180215e-03	3.768571e-02
1.90          	4.085893e-01	6.290171e-03	3.842720e-02
1.91          	3.996224e-01	6.331827e-03	3.884188e-02
1.92          	3.802204e-01	6.337267e-03	3.899301e-02
1.93          	3.974396e-01	6.284546e-03	3.892871e-02
1.94          	3.989449e-01	6.261472e-03	3.869755e-02
1.95          	3.844389e-01	6.304353e-03	3.835745e-02
1.96          	3.816461e-01	6.270167e-03	3.779100e-02
1.97          	3.758162e-01	6.230478e-03	3.708462e-02
1.98          	3.718244e-01	6.262691e-03	3.633605e-02
1.99          	3.712836e-01	6.282977e-03	3.562242e-02
2.00          	3.725525e-01	6.280701e-03	3.501386e-02
2.01          	3.603639e-01	6.222936e-03	3.458993e-02
2.02          	3.662609e-01	6.158362e-03	3.414554e-02
2.03          	3.755317e-01	6.101378e-03	3.371988e-02
2.04          	3.855467e-01	6.019440e-03	3.323674e-02
2.05          	3.835748e-01	6.040426e-03	3.274595e-02
2.06          	3.672196e-01	6.047990e-03	3.256919e-02
2.07          	3.490157e-01	6.083509e-03	3.259798e-02
2.08          	3.299684e-01	6.137412e-03	3.264105e-02
2.09          	3.113510e-01	6.180761e-03	3.286151e-02
2.10          	3.141132e-01	6.254571e-03	3.310903e-02
2.11          	3.144772e-01	6.367889e-03	3.342158e-02
2.12          	3.340422e-01	6.388925e-03	3.350064e-02
2.13          	3.446344e-01	6.504978e-03	3.348055e-02
2.14          	3.410495e-01	6.569251e-03	3.344216e-02
2.15          	3.562814e-01	6.614354e-03	3.356054e-02
2.16          	3.427620e-01	6.681734e-03	3.357705e-02
2.17          	3.478961e-01	6.696429e-03	3.349117e-02
2.18          	3.660255e-01	6.773933e-03	3.360437e-02
2.19          	3.722906e-01	6.790499e-03	3.362317e-02
2.20          	3.624278e-01	6.819328e-03	3.354607e-02
2.21          	3.550745e-01	6.808175e-03	3.361632e-02
2.22          	3.583674e-01	6.716327e-03	3.339556e-02
2.23          	3.632241e-01	6.652632e-03	3.322516e-02
2.24          	3.537959e-01	6.555427e-03	3.300326e-02
2.25          	3.471814e-01	6.442630e-03	3.275915e-02
2.26          	3.595719e-01	6.345131e-03	3.259256e-02
2.27          	3.678726e-01	6.251517e-03	3.235806e-02
2.28          	3.737434e-01	6.233285e-03	3.231593e-02
2.29          	3.873065e-01	6.213416e-03	3.241682e-02
2.30          	3.832040e-01	6.228105e-03	3.276385e-02
2.31          	4.074550e-01	6.217762e-03	3.278770e-02
2.32          	3.867052e-01	6.245635e-03	3.326843e-02
2.33          	3.790550e-01	6.280935e-03	3.380373e-02
2.34          	3.706189e-01	6.322379e-03	3.438761e-02
2.35          	3.758991e-01	6.374717e-03	3.507242e-02
2.36          	3.740194e-01	6.398211e-03	3.571743e-02
2.37          	3.530165e-01	6.410116e-03	3.622519e-02
2.38          	3.639677e-01	6.407814e-03	3.665001e-02
2.39          	3.674961e-01	6.457968e-03	3.712210e-02
2.40          	3.700180e-01	6.514927e-03	3.757135e-02
2.41          	3.755942e-01	6.530204e-03	3.805396e-02
2.42          	3.808336e-01	6.478809e-03	3.822905e-02
2.43          	3.851180e-01	6.380123e-03	3.812855e-02
2.44          	3.802195e-01	6.278447e-03	3.799466e-02
2.45          	3.757629e-01	6.200877e-03	3.780908e-02
2.46          	3.675288e-01	6.171244e-03	3.751181e-02
2.47          	3.864099e-01	6.229360e-03	3.740176e-02
2.48          	3.880972e-01	6.244616e-03	3.715853e-02
2.49          	3.986393e-01	6.290184e-03	3.703604e-02
2.50          	3.863767e-01	6.297485e-03	3.674178e-02
2.51          	3.839067e-01	6.289122e-03	3.652651e-02
2.52          	3.735737e-01	6.275106e-03	3.630028e-02
2.53          	3.516892e-01	6.224475e-03	3.568134e-02
2.54          	3.531431e-01	6.155886e-03	3.506939e-02
2.55          	3.484696e-01	6.197320e-03	3.459584e-02
2.56          	3.477944e-01	6.186513e-03	3.399762e-02
2.57          	3.408996e-01	6.169255e-03	3.332954e-02
2.58          	3.348446e-01	6.136694e-03	3.278304e-02
2.59          	3.295621e-01	6.082222e-03	3.233157e-02
2.60          	3.401912e-01	6.070925e-03	3.191381e-02
