"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2"
-6.48823e-04,0.00000e+00,4.48760e-09,1.07304e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.61389e-03,7.07276e-02,1.74831e-03,0.00000e+00
-6.48823e-04,0.00000e+00,4.48760e-09,1.07304e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.61389e-03,7.07276e-02,1.74831e-03,2.90000e-01
-6.33683e-04,0.00000e+00,4.17636e-09,1.06361e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.45956e-03,7.21536e-02,1.17000e-03,0.00000e+00
-6.33683e-04,0.00000e+00,4.17636e-09,1.06361e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.45956e-03,7.21536e-02,1.17000e-03,2.90000e-01
-6.18716e-04,0.00000e+00,3.75827e-09,1.05256e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.30699e-03,7.35773e-02,5.86331e-04,0.00000e+00
-6.18716e-04,0.00000e+00,3.75827e-09,1.05256e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.30699e-03,7.35773e-02,5.86331e-04,2.90000e-01
-6.04024e-04,0.00000e+00,3.38823e-09,1.04012e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.15722e-03,7.50000e-02,9.54176e-14,0.00000e+00
-6.04024e-04,0.00000e+00,3.38823e-09,1.04012e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.15722e-03,7.50000e-02,9.54176e-14,2.90000e-01
-5.89767e-04,0.00000e+00,3.18336e-09,1.02632e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.01190e-03,7.64227e-02,-5.86331e-04,0.00000e+00
-5.89767e-04,0.00000e+00,3.18336e-09,1.02632e+03,0.00000e+00,0.00000e+00,0.00000e+00,-6.01190e-03,7.64227e-02,-5.86331e-04,2.90000e-01
-5.76044e-04,0.00000e+00,3.12158e-09,1.01123e+03,0.00000e+00,0.00000e+00,0.00000e+00,-5.87201e-03,7.78464e-02,-1.17000e-03,0.00000e+00
-5.76044e-04,0.00000e+00,3.12158e-09,1.01123e+03,0.00000e+00,0.00000e+00,0.00000e+00,-5.87201e-03,7.78464e-02,-1.17000e-03,2.90000e-01
-5.62886e-04,0.00000e+00,3.18101e-09,9.95165e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.73788e-03,7.92724e-02,-1.74831e-03,0.00000e+00
-5.62886e-04,0.00000e+00,3.18101e-09,9.95165e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.73788e-03,7.92724e-02,-1.74831e-03,2.90000e-01
-5.50277e-04,0.00000e+00,3.39553e-09,9.78205e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.60935e-03,8.07016e-02,-2.31853e-03,0.00000e+00
-5.50277e-04,0.00000e+00,3.39553e-09,9.78205e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.60935e-03,8.07016e-02,-2.31853e-03,2.90000e-01
-5.38169e-04,0.00000e+00,3.80716e-09,9.60459e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.48592e-03,8.21351e-02,-2.87783e-03,0.00000e+00
-5.38169e-04,0.00000e+00,3.80716e-09,9.60459e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.48592e-03,8.21351e-02,-2.87783e-03,2.90000e-01
-5.26446e-04,0.00000e+00,4.43084e-09,9.42124e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.36642e-03,8.35739e-02,-3.42328e-03,0.00000e+00
-5.26446e-04,0.00000e+00,4.43084e-09,9.42124e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.36642e-03,8.35739e-02,-3.42328e-03,2.90000e-01
-5.14961e-04,0.00000e+00,5.34151e-09,9.23419e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.24935e-03,8.50190e-02,-3.95182e-03,0.00000e+00
-5.14961e-04,0.00000e+00,5.34151e-09,9.23419e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.24935e-03,8.50190e-02,-3.95182e-03,2.90000e-01
-5.03567e-04,0.00000e+00,6.64097e-09,9.04599e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.13320e-03,8.64713e-02,-4.46021e-03,0.00000e+00
-5.03567e-04,0.00000e+00,6.64097e-09,9.04599e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.13320e-03,8.64713e-02,-4.46021e-03,2.90000e-01
-4.92102e-04,0.00000e+00,8.45060e-09,8.85846e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.01633e-03,8.79317e-02,-4.94506e-03,0.00000e+00
-4.92102e-04,0.00000e+00,8.45060e-09,8.85846e+02,0.00000e+00,0.00000e+00,0.00000e+00,-5.01633e-03,8.79317e-02,-4.94506e-03,2.90000e-01
-4.80392e-04,0.00000e+00,1.09537e-08,8.67363e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.89696e-03,8.94008e-02,-5.40276e-03,0.00000e+00
-4.80392e-04,0.00000e+00,1.09537e-08,8.67363e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.89696e-03,8.94008e-02,-5.40276e-03,2.90000e-01
-4.68254e-04,0.00000e+00,1.43279e-08,8.49424e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.77323e-03,9.08792e-02,-5.82946e-03,0.00000e+00
-4.68254e-04,0.00000e+00,1.43279e-08,8.49424e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.77323e-03,9.08792e-02,-5.82946e-03,2.90000e-01
-4.55526e-04,0.00000e+00,1.86651e-08,8.32307e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.64348e-03,9.23672e-02,-6.22108e-03,0.00000e+00
-4.55526e-04,0.00000e+00,1.86651e-08,8.32307e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.64348e-03,9.23672e-02,-6.22108e-03,2.90000e-01
-4.42115e-04,0.00000e+00,2.40486e-08,8.16317e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.50677e-03,9.38650e-02,-6.57333e-03,0.00000e+00
-4.42115e-04,0.00000e+00,2.40486e-08,8.16317e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.50677e-03,9.38650e-02,-6.57333e-03,2.90000e-01
-4.27993e-04,0.00000e+00,3.05613e-08,8.01806e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.36282e-03,9.53725e-02,-6.88169e-03,0.00000e+00
-4.27993e-04,0.00000e+00,3.05613e-08,8.01806e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.36282e-03,9.53725e-02,-6.88169e-03,2.90000e-01
