"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2",
-0.00023044,0,2.69962E-07,770.654,0,0,0,-0.00234903,0.10917,-0.00750035,0.29,"(10.917 -0.750035 29)"
-0.000191148,0,3.33487E-07,774.793,0,0,0,-0.0019485,0.110704,-0.00738198,0,"(11.0704 -0.738198 0)"
-0.000191148,0,3.33487E-07,774.793,0,0,0,-0.0019485,0.110704,-0.00738198,0.29,"(11.0704 -0.738198 29)"
-0.000146577,0,4.08564E-07,779.571,0,0,0,-0.00149416,0.112236,-0.00723511,0,"(11.2236 -0.723511 0)"
-0.000146577,0,4.08564E-07,779.571,0,0,0,-0.00149416,0.112236,-0.00723511,0.29,"(11.2236 -0.723511 29)"
-9.62378E-05,0,4.97224E-07,784.969,0,0,0,-0.000981017,0.113765,-0.00706185,0,"(11.3765 -0.706185 0)"
-9.62378E-05,0,4.97224E-07,784.969,0,0,0,-0.000981017,0.113765,-0.00706185,0.29,"(11.3765 -0.706185 29)"
-3.96739E-05,0,6.00979E-07,791.07,0,0,0,-0.000404423,0.115291,-0.00686429,0,"(11.5291 -0.686429 0)"
-3.96739E-05,0,6.00979E-07,791.07,0,0,0,-0.000404423,0.115291,-0.00686429,0.29,"(11.5291 -0.686429 29)"
2.35105E-05,0,7.22093E-07,797.634,0,0,0,0.000239659,0.116814,-0.00664451,0,"(11.6814 -0.664451 0)"
2.35105E-05,0,7.22093E-07,797.634,0,0,0,0.000239659,0.116814,-0.00664451,0.29,"(11.6814 -0.664451 29)"
9.35811E-05,0,8.62954E-07,804.54,0,0,0,0.000953936,0.118334,-0.00640452,0,"(11.8334 -0.640452 0)"
9.35811E-05,0,8.62954E-07,804.54,0,0,0,0.000953936,0.118334,-0.00640452,0.29,"(11.8334 -0.640452 29)"
0.00017061,0,1.02274E-06,811.687,0,0,0,0.00173914,0.119851,-0.00614636,0,"(11.9851 -0.614636 0)"
0.00017061,0,1.02274E-06,811.687,0,0,0,0.00173914,0.119851,-0.00614636,0.29,"(11.9851 -0.614636 29)"
0.000254818,0,1.19943E-06,819,0,0,0,0.00259753,0.121365,-0.00587197,0,"(12.1365 -0.587197 0)"
0.000254818,0,1.19943E-06,819,0,0,0,0.00259753,0.121365,-0.00587197,0.29,"(12.1365 -0.587197 29)"
0.000345854,0,1.40613E-06,826.382,0,0,0,0.00352553,0.122876,-0.00558329,0,"(12.2876 -0.558329 0)"
0.000345854,0,1.40613E-06,826.382,0,0,0,0.00352553,0.122876,-0.00558329,0.29,"(12.2876 -0.558329 29)"
0.000442655,0,1.6448E-06,833.753,0,0,0,0.00451228,0.124385,-0.00528219,0,"(12.4385 -0.528219 0)"
0.000442655,0,1.6448E-06,833.753,0,0,0,0.00451228,0.124385,-0.00528219,0.29,"(12.4385 -0.528219 29)"
0.000544447,0,1.89979E-06,841.062,0,0,0,0.00554991,0.125892,-0.00497055,0,"(12.5892 -0.497055 0)"
0.000544447,0,1.89979E-06,841.062,0,0,0,0.00554991,0.125892,-0.00497055,0.29,"(12.5892 -0.497055 29)"
0.000650192,0,2.16964E-06,848.167,0,0,0,0.00662785,0.127397,-0.00465017,0,"(12.7397 -0.465017 0)"
0.000650192,0,2.16964E-06,848.167,0,0,0,0.00662785,0.127397,-0.00465017,0.29,"(12.7397 -0.465017 29)"
0.0007583,0,2.45655E-06,854.886,0,0,0,0.00772987,0.128901,-0.00432287,0,"(12.8901 -0.432287 0)"
0.0007583,0,2.45655E-06,854.886,0,0,0,0.00772987,0.128901,-0.00432287,0.29,"(12.8901 -0.432287 29)"
0.000866973,0,2.74374E-06,861.573,0,0,0,0.00883765,0.130403,-0.0039904,0,"(13.0403 -0.39904 0)"
0.000866973,0,2.74374E-06,861.573,0,0,0,0.00883765,0.130403,-0.0039904,0.29,"(13.0403 -0.39904 29)"
0.000974207,0,3.02408E-06,867.889,0,0,0,0.00993076,0.131905,-0.00365453,0,"(13.1905 -0.365453 0)"
0.000974207,0,3.02408E-06,867.889,0,0,0,0.00993076,0.131905,-0.00365453,0.29,"(13.1905 -0.365453 29)"
0.0010778,0,3.29194E-06,873.743,0,0,0,0.0109867,0.133406,-0.003317,0,"(13.3406 -0.3317 0)"
0.0010778,0,3.29194E-06,873.743,0,0,0,0.0109867,0.133406,-0.003317,0.29,"(13.3406 -0.3317 29)"
0.00117553,0,3.53147E-06,879.607,0,0,0,0.011983,0.134907,-0.00297956,0,"(13.4907 -0.297956 0)"
0.00117553,0,3.53147E-06,879.607,0,0,0,0.011983,0.134907,-0.00297956,0.29,"(13.4907 -0.297956 29)"
0.00126538,0,3.74287E-06,884.799,0,0,0,0.0128989,0.136409,-0.00264395,0,"(13.6409 -0.264395 0)"
0.00126538,0,3.74287E-06,884.799,0,0,0,0.0128989,0.136409,-0.00264395,0.29,"(13.6409 -0.264395 29)"
0.00134559,0,3.91674E-06,889.58,0,0,0,0.0137166,0.137911,-0.0023119,0,"(13.7911 -0.23119 0)"
0.00134559,0,3.91674E-06,889.58,0,0,0,0.0137166,0.137911,-0.0023119,0.29,"(13.7911 -0.23119 29)"
0.00141477,0,4.04491E-06,894.053,0,0,0,0.0144217,0.139415,-0.00198519,0,"(13.9415 -0.198519 0)"
0.00141477,0,4.04491E-06,894.053,0,0,0,0.0144217,0.139415,-0.00198519,0.29,"(13.9415 -0.198519 29)"
0.00147188,0,4.11833E-06,897.789,0,0,0,0.0150039,0.14092,-0.00166558,0,"(14.092 -0.166558 0)"
0.00147188,0,4.11833E-06,897.789,0,0,0,0.0150039,0.14092,-0.00166558,0.29,"(14.092 -0.166558 29)"
0.00151646,0,4.12994E-06,900.93,0,0,0,0.0154584,0.142427,-0.00135487,0,"(14.2427 -0.135487 0)"
0.00151646,0,4.12994E-06,900.93,0,0,0,0.0154584,0.142427,-0.00135487,0.29,"(14.2427 -0.135487 29)"
0.00154873,0,4.08547E-06,903.388,0,0,0,0.0157873,0.143937,-0.0010549,0,"(14.3937 -0.10549 0)"
0.00154873,0,4.08547E-06,903.388,0,0,0,0.0157873,0.143937,-0.0010549,0.29,"(14.3937 -0.10549 29)"
0.00156948,0,3.968E-06,905.586,0,0,0,0.0159987,0.145448,-0.000767513,0,"(14.5448 -0.0767513 0)"
0.00156948,0,3.968E-06,905.586,0,0,0,0.0159987,0.145448,-0.000767513,0.29,"(14.5448 -0.0767513 29)"
0.00158031,0,3.77486E-06,907.247,0,0,0,0.0161092,0.146963,-0.000494608,0,"(14.6963 -0.0494608 0)"
0.00158031,0,3.77486E-06,907.247,0,0,0,0.0161092,0.146963,-0.000494608,0.29,"(14.6963 -0.0494608 29)"
0.00158371,0,3.48692E-06,908.271,0,0,0,0.0161438,0.14848,-0.000238114,0,"(14.848 -0.0238114 0)"
0.00158371,0,3.48692E-06,908.271,0,0,0,0.0161438,0.14848,-0.000238114,0.29,"(14.848 -0.0238114 29)"
0.00158388,0,3.31068E-06,908.779,0,0,0,0.0161456,0.15,0,0,"(15 0 0)"
0.00158388,0,3.31068E-06,908.779,0,0,0,0.0161456,0.15,0,0.29,"(15 0 29)"
